reviewerID,product,overall,ReviewTime,ReviewDay,ITBin,userID,itemID,TDayCat
A2POEZE9CZ7J7C,B0009EILKS,2.0,2013-04-26,2935,51,587,2,1505
A3QCY8ODJBGFLH,B0009EILKS,5.0,2013-02-27,2877,50,957,2,1447
A28WXDXJA1P0MC,B0009EILKS,5.0,2013-01-24,2843,49,434,2,1413
A32XGYDA14KT13,B000AO2NXS,5.0,2013-02-11,2861,50,721,3,1431
A2UX1QYTF609V,B000AO2NXS,3.0,2012-12-29,2817,49,639,3,1387
A3U0S17XYK8XMJ,B000AO2NXS,5.0,2013-01-17,2836,49,993,3,1406
A1W415JP5WEAJK,B000AO2NXS,5.0,2013-03-04,2882,50,288,3,1452
A1P27BGF8NAI29,B000AO2NXS,5.0,2013-02-15,2865,50,228,3,1435
A3OE8046KWT42B,B000AO2NXS,3.0,2013-01-27,2846,49,941,3,1416
A1P2XYD265YE21,B000AO2NXS,5.0,2013-03-17,2895,50,229,3,1465
AIFLY2HF8NS8U,B000AO2NXS,4.0,2013-03-03,2881,50,1163,3,1451
A3O28YJBZG1Q0Q,B000AO2NXS,5.0,2013-05-24,2963,51,937,3,1533
A2SSV6KM3W1VFD,B000AO2NXS,5.0,2013-01-10,2829,49,615,3,1399
AJV985MKGCIQ0,B000AO2NXS,5.0,2013-02-03,2853,50,1176,3,1423
A3091RP0SPZLMN,B000AO2NXS,3.0,2013-03-04,2882,50,697,3,1452
A2FRFAQCWZJT3Q,B000AO2NXS,4.0,2013-02-20,2870,50,495,3,1440
A3AZI828WJN1CD,B000AO2NXS,4.0,2013-03-13,2891,50,796,3,1461
A2CZPM110DW516,B000AO2NXS,4.0,2012-12-26,2814,49,467,3,1384
A3A7Y3TSPPZU9T,B000AO2NXS,5.0,2013-02-24,2874,50,784,3,1444
A2RX62V4E2BF5Z,B000AO2NXS,4.0,2013-03-03,2881,50,606,3,1451
A3OC93X866Z8TB,B000AO2NXS,5.0,2013-03-03,2881,50,940,3,1451
A1X3ESYZ79H59E,B000AO2NXS,5.0,2013-02-27,2877,50,303,3,1447
A2NUBL2UYWPBWR,B000AO2NXS,2.0,2012-09-20,2717,47,571,3,1287
A1KJDOL79GJ3JI,B000AO2NXS,4.0,2013-05-16,2955,51,186,3,1525
A25C2M3QF9G7OQ,B000AO2NXS,5.0,2013-02-27,2877,50,396,3,1447
A2ZY49IDE6TY5I,B000AO2NXS,5.0,2013-02-27,2877,50,693,3,1447
A2IN5KO0L2YPQC,B000AO2NXS,5.0,2013-04-05,2914,51,528,3,1484
AEL6CQNQXONBX,B000AO2NXS,4.0,2013-03-10,2888,50,1123,3,1458
A10E3F50DIUJEE,B000AO2NXS,5.0,2013-01-05,2824,49,3,3,1394
A2QH6LESI5RTO5,B000AO2NXS,5.0,2013-01-18,2837,49,593,3,1407
ALNFHVS3SC4FV,B000AO2NXS,5.0,2013-02-28,2878,50,1198,3,1448
A1ZZZT0KJR46UV,B000AO2NXS,5.0,2013-03-22,2900,50,339,3,1470
A2BLFCOPSMBOZ9,B000AO2NXS,4.0,2013-03-01,2879,50,453,3,1449
A1X2LENOF84LCQ,B000AO2NXS,5.0,2013-02-05,2855,50,301,3,1425
A23GFTVIETX7DS,B000AO2NXS,5.0,2013-02-26,2876,50,374,3,1446
ACJT8MUC0LRF0,B000AO2NXS,5.0,2013-03-01,2879,50,1099,3,1449
A3BFDEBT5IV4UN,B000AO2NXS,4.0,2013-03-02,2880,50,799,3,1450
A9KLAL1CXZ0W5,B000AO2NXS,4.0,2013-02-28,2878,50,1073,3,1448
A1I6U5AQAT3ZG9,B000AO2NXS,4.0,2013-02-24,2874,50,160,3,1444
A29313797NGT9L,B000AO2NXS,4.0,2012-12-28,2816,49,436,3,1386
ABY77ZEHN9WLU,B000AO2NXS,2.0,2013-01-12,2831,49,1094,3,1401
AOTMP0OKJOUWI,B000AO2NXS,5.0,2013-03-20,2898,50,1233,3,1468
A3JT29L4YFEIMJ,B000AO2NXS,5.0,2013-01-12,2831,49,891,3,1401
A1L7R2764ED46Y,B000AO2NXS,5.0,2013-02-23,2873,50,190,3,1443
A2P739KOM4U5JB,B000AO2NXS,3.0,2013-03-04,2882,50,581,3,1452
ALYZJ7W14YS26,B000AO2NXS,5.0,2013-03-12,2890,50,1202,3,1460
A96AUNSF6GESO,B000AO2NXS,5.0,2013-01-07,2826,49,1067,3,1396
AKMEY1BSHSDG7,B000AO2NXS,5.0,2013-10-28,3120,54,1187,3,1690
A1ILWPH1GHUXE2,B000AO2NXS,5.0,2013-02-28,2878,50,166,3,1448
A1ZU55TM45Y2R8,B000AO2NXS,3.0,2013-02-28,2878,50,336,3,1448
A2GCVUZ1N1TBZ2,B000AO2NXS,5.0,2013-02-03,2853,50,505,3,1423
A311QT2NYDS6UD,B000AO2NXS,4.0,2013-03-28,2906,50,702,3,1476
A19XE6G6NDZFPS,B000AO2NXS,4.0,2013-01-29,2848,49,88,3,1418
A34CSXOGVYF94S,B000AO2NXS,4.0,2013-02-25,2875,50,736,3,1445
A3VI2VETB90ZG5,B000AO2NXS,3.0,2013-03-02,2880,50,1008,3,1450
A5A3C6XVDYUND,B000AO2NXS,4.0,2013-01-07,2826,49,1027,3,1396
A34W7QA4J5UTOR,B000AO2NXS,4.0,2013-04-08,2917,51,741,3,1487
A8INT3NMHRUS4,B000AO2NXS,5.0,2013-03-02,2880,50,1056,3,1450
ARARUVZ8RUF5T,B000AO2NXS,4.0,2013-01-27,2846,49,1260,3,1416
AIW4CHZOM5W7D,B000AO2NXS,4.0,2013-02-27,2877,50,1166,3,1447
A31RULW0KNYJ5H,B000AO2NXS,3.0,2013-02-24,2874,50,710,3,1444
A2Y8IDC1FKGNJC,B000AO2NXS,3.0,2013-01-17,2836,49,680,3,1406
A13WOT3RSXKRD5,B000AO2NXS,5.0,2013-03-02,2880,50,32,3,1450
A1IPKBAP6LOWCR,B000AO2NXS,4.0,2013-01-04,2823,49,168,3,1393
AX9C10JD538D9,B000AO2NXS,4.0,2013-02-27,2877,50,1317,3,1447
A3NZVCL9N8CLHB,B000AO2NXS,4.0,2013-02-09,2859,50,936,3,1429
A27Q1X75QCWTID,B000AO2NXS,4.0,2013-03-08,2886,50,420,3,1456
ATANE2SC44592,B000AO2NXS,5.0,2013-02-21,2871,50,1275,3,1441
A1UQBFCERIP7VJ,B000AO2NXS,5.0,2013-03-18,2896,50,274,3,1466
AXR3CV6A4FMBG,B000AO2NXS,4.0,2013-02-19,2869,50,1322,3,1439
A5BJMAHZWGJ7N,B000AO2NXS,4.0,2013-01-16,2835,49,1028,3,1405
A35Q0RBM3YNQNF,B000AO2NXS,4.0,2013-03-04,2882,50,751,3,1452
AVAL1T27UJ5HD,B000AO2NXS,4.0,2012-12-28,2816,49,1294,3,1386
A2FT65RZEV2HNH,B000AO2NXS,4.0,2012-12-27,2815,49,496,3,1385
A210SPRGOOG2D0,B000AO2NXS,5.0,2013-02-21,2871,50,346,3,1441
A1M92239OM8KPO,B000AO2NXS,5.0,2013-02-28,2878,50,202,3,1448
A192Z1UVDNK88E,B000AO2NXS,4.0,2013-01-17,2836,49,78,3,1406
A3J029KBNG5MNP,B000AO2NXS,5.0,2013-03-09,2887,50,884,3,1457
AGEKVD8JPZQMT,B000AO2NXS,5.0,2013-02-24,2874,50,1143,3,1444
A3K8AU6BAGN60E,B000AO2NXS,3.0,2013-02-08,2858,50,897,3,1428
AT0E6UBVJMJ6W,B000AO2NXS,5.0,2013-01-04,2823,49,1271,3,1393
AE2MKYLMTYF21,B000AO2NXS,5.0,2013-02-03,2853,50,1118,3,1423
A3U5JCXIXTGSLN,B000AO2NXS,4.0,2013-02-01,2851,50,996,3,1421
A1MZL91Z44RN06,B000AO2NXS,5.0,2013-03-03,2881,50,210,3,1451
A376OJHLE6SU9Q,B000AO2NXS,1.0,2013-03-19,2897,50,756,3,1467
A3EPHBMU07LZ50,B000AO2NXS,2.0,2013-01-06,2825,49,834,3,1395
AAA0TUKS5VBSA,B000AO2NXS,5.0,2013-02-27,2877,50,1077,3,1447
A3GASQRWPQW28W,B000AO2NXS,4.0,2013-01-15,2834,49,856,3,1404
A22CW0ZHY3NJH8,B000AO2NXS,3.0,2013-03-28,2906,50,364,3,1476
AUV3OR951650C,B000AO2NXS,4.0,2013-05-09,2948,51,1290,3,1518
A1ODOGXEYECQQ8,B000AO2NXS,4.0,2013-03-09,2887,50,222,3,1457
A231LBC8EGPO5L,B000AO2NXS,5.0,2013-03-22,2900,50,370,3,1470
AZA595ZPIG240,B000AO2NXS,5.0,2013-02-05,2855,50,1337,3,1425
A33VELHWFACU48,B000AO2NXS,5.0,2013-01-03,2822,49,730,3,1392
AQ6AGWKWMTY8H,B000AO2NXS,2.0,2013-03-12,2890,50,1247,3,1460
A1RX2N300NHQAF,B000AO2NXS,4.0,2013-01-16,2835,49,254,3,1405
AX54G5AL870Q8,B000AO2NXS,3.0,2013-04-26,2935,51,1315,3,1505
A2XH6KI5ZLRLPS,B000AO2NXS,5.0,2013-02-21,2871,50,675,3,1441
A2X3L31KCXBHCL,B000AO2NXS,5.0,2013-02-27,2877,50,668,3,1447
A1ZENB34HH2EIM,B000AO2NXS,5.0,2013-02-04,2854,50,327,3,1424
A2SPI5WNZLOJ2U,B000AO2NXS,3.0,2013-01-07,2826,49,613,3,1396
A1HM4GGGNKZ37B,B000AO2NXS,3.0,2013-03-16,2894,50,155,3,1464
A2068BC3ZXAVJQ,B000AO2NXS,5.0,2013-03-17,2895,50,341,3,1465
A3QCY8ODJBGFLH,B000AO2NXS,5.0,2013-01-17,2836,49,957,3,1406
AB0TLNLNOAGY4,B000AO2NXS,4.0,2013-01-19,2838,49,1082,3,1408
A31DVKL8JE4XAH,B000AO2NXS,4.0,2013-01-16,2835,49,708,3,1405
A3CNJR9MD5BFKL,B000AO2NXS,4.0,2013-01-05,2824,49,810,3,1394
A2WW57XX2UVLM6,B000AO2NXS,4.0,2013-03-17,2895,50,662,3,1465
A2UR9I3QSTN4G3,B000AO2NXS,4.0,2013-01-17,2836,49,637,3,1406
A16YU3GRGCD95S,B000AO2NXS,5.0,2013-03-17,2895,50,61,3,1465
A3CG6YLYZJXQG4,B000AO2NXS,4.0,2013-03-01,2879,50,806,3,1449
A3J356L2ADK05Z,B000AO2NXS,5.0,2013-04-14,2923,51,885,3,1493
A22I55P15NSAOX,B000AO2NXS,5.0,2013-03-01,2879,50,365,3,1449
A3MUSWDCTZINQZ,B000AO2NXS,5.0,2013-02-25,2875,50,926,3,1445
A1IW1ANBV0DPVI,B000AO2NXS,5.0,2013-03-21,2899,50,170,3,1469
A4D5B7Q8A7PA6,B000AO2NXS,5.0,2013-02-27,2877,50,1018,3,1447
A1HRYC60VTMYC0,B000E0K7NQ,5.0,2013-04-01,2910,51,156,4,1480
A2JAEZ0FMAMJVW,B000E0K7NQ,4.0,2013-04-17,2926,51,532,4,1496
A19UTUEBWKIZFT,B000E0K7NQ,5.0,2013-04-07,2916,51,85,4,1486
A3OE8046KWT42B,B000E0K7NQ,5.0,2013-04-06,2915,51,941,4,1485
A2LAS014NSRW72,B000E0K7NQ,4.0,2013-04-06,2915,51,548,4,1485
AIFLY2HF8NS8U,B000E0K7NQ,5.0,2013-04-19,2928,51,1163,4,1498
A3CHMHGSJSQ02J,B000E0K7NQ,5.0,2013-04-21,2930,51,808,4,1500
A2OCDK0BOW6UCY,B000E0K7NQ,4.0,2013-04-05,2914,51,576,4,1484
A3T4OHEAHOJ700,B000E0K7NQ,4.0,2013-04-05,2914,51,983,4,1484
A9KAY47NCPQS,B000E0K7NQ,5.0,2013-04-18,2927,51,1072,4,1497
A2G9UDL72YUTT8,B000E0K7NQ,4.0,2013-02-15,2865,50,501,4,1435
A39BGN8JA7CIFX,B000E0K7NQ,3.0,2013-03-01,2879,50,779,4,1449
AYUF7YETYOLNX,B000E0K7NQ,5.0,2013-04-07,2916,51,1334,4,1486
A91TB0WX94MHP,B000E0K7NQ,5.0,2013-04-06,2915,51,1065,4,1485
A3PEOF0GX4EN38,B000E0K7NQ,5.0,2013-03-28,2906,50,949,4,1476
A1DH3QDZX8Z7GO,B000E0K7NQ,4.0,2013-04-06,2915,51,116,4,1485
A3NHUQ33CFH3VM,B000E0K7NQ,5.0,2013-03-26,2904,50,931,4,1474
A2ZY49IDE6TY5I,B000E0K7NQ,4.0,2013-03-29,2907,50,693,4,1477
A2IN5KO0L2YPQC,B000E0K7NQ,5.0,2013-03-18,2896,50,528,4,1466
A3EXWV8FNSSFL6,B000E0K7NQ,4.0,2013-04-24,2933,51,838,4,1503
ALNFHVS3SC4FV,B000E0K7NQ,5.0,2013-04-15,2924,51,1198,4,1494
A1TR1R2QKWRSRA,B000E0K7NQ,4.0,2013-04-05,2914,51,265,4,1484
A3MEMX0XF00TBD,B000E0K7NQ,4.0,2013-03-27,2905,50,922,4,1475
A2OJCTT5WLB2HR,B000E0K7NQ,5.0,2013-04-09,2918,51,577,4,1488
ACVDL5QRCOPE1,B000E0K7NQ,5.0,2013-04-01,2910,51,1102,4,1480
AY3D7DG5L5WCK,B000E0K7NQ,5.0,2013-04-07,2916,51,1325,4,1486
A36MP37DITBU6F,B000E0K7NQ,5.0,2013-03-26,2904,50,753,4,1474
A1DW1FK1H3F2TM,B000E0K7NQ,5.0,2013-04-22,2931,51,122,4,1501
A2WZNM833CJH82,B000E0K7NQ,5.0,2013-04-05,2914,51,664,4,1484
ACYR6O588USK,B000E0K7NQ,5.0,2013-04-06,2915,51,1105,4,1485
A2P739KOM4U5JB,B000E0K7NQ,5.0,2013-04-16,2925,51,581,4,1495
ALBW2ZBS6Z2AY,B000E0K7NQ,4.0,2013-03-28,2906,50,1190,4,1476
A24RCBRDXRXR0Y,B000E0K7NQ,4.0,2013-04-11,2920,51,387,4,1490
AKMEY1BSHSDG7,B000E0K7NQ,5.0,2013-03-31,2909,51,1187,4,1479
A5GPH59NDWJRB,B000E0K7NQ,4.0,2013-03-31,2909,51,1029,4,1479
A25GDJ31WLG4U1,B000E0K7NQ,4.0,2013-02-22,2872,50,399,4,1442
AYB4ELCS5AM8P,B000E0K7NQ,4.0,2013-04-07,2916,51,1327,4,1486
A2UEB48LAWFUCW,B000E0K7NQ,4.0,2013-04-10,2919,51,629,4,1489
A1VBDMNT6I8RE5,B000E0K7NQ,5.0,2013-04-03,2912,51,281,4,1482
AKHKBZEHJ36FQ,B000E0K7NQ,4.0,2013-04-19,2928,51,1183,4,1498
A1EVV74UQYVKRY,B000E0K7NQ,5.0,2013-04-02,2911,51,133,4,1481
A3094EPI56GKZ6,B000E0K7NQ,5.0,2013-03-27,2905,50,698,4,1475
A3R9H6OKZHHRJD,B000E0K7NQ,4.0,2013-05-01,2940,51,971,4,1510
A33Y8C4818EJL0,B000E0K7NQ,5.0,2013-03-28,2906,50,732,4,1476
ACH3XM6K1M4AK,B000E0K7NQ,4.0,2013-04-12,2921,51,1097,4,1491
A2VH0UT5EQFB6P,B000E0K7NQ,5.0,2013-03-26,2904,50,650,4,1474
ATANE2SC44592,B000E0K7NQ,4.0,2013-05-06,2945,51,1275,4,1515
A3KZEGBTPH6MMF,B000E0K7NQ,5.0,2013-03-20,2898,50,902,4,1468
A1UQBFCERIP7VJ,B000E0K7NQ,5.0,2013-04-06,2915,51,274,4,1485
A2DA2NJZ2RIYAB,B000E0K7NQ,4.0,2013-05-16,2955,51,472,4,1525
A1FPQ54AIB26L0,B000E0K7NQ,5.0,2013-03-29,2907,50,141,4,1477
A3L1MEXXDI4Q77,B000E0K7NQ,3.0,2013-04-05,2914,51,904,4,1484
AM8J1UVGVYAL4,B000E0K7NQ,5.0,2013-05-14,2953,51,1203,4,1523
A1UMSB7LAW0RIR,B000E0K7NQ,4.0,2013-04-01,2910,51,273,4,1480
A2QDOJFFLFGF18,B000E0K7NQ,5.0,2013-03-28,2906,50,592,4,1476
AGEKVD8JPZQMT,B000E0K7NQ,4.0,2013-03-28,2906,50,1143,4,1476
A3K8AU6BAGN60E,B000E0K7NQ,5.0,2013-03-27,2905,50,897,4,1475
A2MO9URO4526Q2,B000E0K7NQ,4.0,2013-03-21,2899,50,562,4,1469
AHUT55E980RDR,B000E0K7NQ,5.0,2013-05-08,2947,51,1159,4,1517
AAA0TUKS5VBSA,B000E0K7NQ,4.0,2013-03-26,2904,50,1077,4,1474
A1MBXP3NZM2BUO,B000E0K7NQ,4.0,2013-05-13,2952,51,204,4,1522
A1ODOGXEYECQQ8,B000E0K7NQ,4.0,2013-04-14,2923,51,222,4,1493
A2ZKQC0XCIIAEM,B000E0K7NQ,5.0,2013-03-28,2906,50,692,4,1476
AZA595ZPIG240,B000E0K7NQ,4.0,2013-05-16,2955,51,1337,4,1525
A3FBM0RMCMAABV,B000E0K7NQ,5.0,2013-04-18,2927,51,842,4,1497
A3R1WFO4KIUQXZ,B000E0K7NQ,4.0,2013-04-12,2921,51,966,4,1491
A2TBAUW2W7J538,B000E0K7NQ,4.0,2013-04-16,2925,51,620,4,1495
A3S3R88HA0HZG3,B000E0K7NQ,5.0,2013-04-03,2912,51,978,4,1482
A1HLJJ6MKZLR3Z,B000E0K7NQ,2.0,2013-04-08,2917,51,154,4,1487
A2XH6KI5ZLRLPS,B000E0K7NQ,5.0,2013-05-17,2956,51,675,4,1526
A2ULQOGN59LDNK,B000E0K7NQ,5.0,2013-04-02,2911,51,632,4,1481
A2X3L31KCXBHCL,B000E0K7NQ,5.0,2013-04-13,2922,51,668,4,1492
A2SPI5WNZLOJ2U,B000E0K7NQ,3.0,2013-04-05,2914,51,613,4,1484
A1R1BFJCMWX0Y3,B000E0K7NQ,3.0,2013-04-02,2911,51,246,4,1481
A379IB3EYAEL5,B000E0K7NQ,3.0,2013-04-01,2910,51,757,4,1480
A277UAKKEGKR04,B000E0K7NQ,5.0,2013-03-01,2879,50,412,4,1449
A2YW1MG1GKU8XD,B000E0K7NQ,4.0,2013-04-05,2914,51,688,4,1484
A1IZJVLNMFACS6,B000E0K7NQ,5.0,2013-03-30,2908,51,172,4,1478
A3LZA698SQPCXE,B000E0K7NQ,4.0,2013-04-12,2921,51,914,4,1491
A3MUSWDCTZINQZ,B000E0K7NQ,4.0,2013-04-15,2924,51,926,4,1494
A4D5B7Q8A7PA6,B000E0K7NQ,5.0,2013-04-15,2924,51,1018,4,1494
A2V92F5R7MLCVI,B000E0K7NQ,4.0,2013-03-30,2908,51,647,4,1478
A2G04D4QZAXL15,B000E0K7NQ,5.0,2013-03-27,2905,50,499,4,1475
A3C118IGQ3K1C,B000F6RFX4,5.0,2014-05-13,3317,58,803,5,1887
A2PGCJQPNMUBSS,B000F6RFX4,5.0,2014-05-22,3326,58,585,5,1896
A6N1DC5AMPLSK,B000F6RFX4,5.0,2014-05-21,3325,58,1038,5,1895
A2QIVMS9KG4GXS,B000F6RFX4,4.0,2014-04-20,3294,57,594,5,1864
AJZFT4AFY3EUG,B000F6RFX4,5.0,2014-05-07,3311,58,1178,5,1881
A1YW7MGDBVKJ20,B000F6RFX4,4.0,2014-05-22,3326,58,321,5,1896
A3CPL126VL12H8,B000F6RFX4,4.0,2014-04-18,3292,57,812,5,1862
A2EIIDTYMJAEXV,B000F6RFX4,5.0,2014-05-24,3328,58,481,5,1898
A3IQXED40ZZ2T2,B000F6RFX4,5.0,2014-04-23,3297,57,880,5,1867
A1Z3AV93ONK5VF,B000F6RFX4,5.0,2014-04-29,3303,57,324,5,1873
A1NC2MZF9L3URH,B000F6RFX4,5.0,2014-05-13,3317,58,211,5,1887
A3EDNFH2V8CXDO,B000F6RFX4,5.0,2014-05-22,3326,58,827,5,1896
A31COYV4FKJEYL,B000F6RFX4,5.0,2014-04-24,3298,57,707,5,1868
A2BM0K1XK4O2OX,B000F6RFX4,5.0,2014-05-01,3305,57,454,5,1875
ABHEC21XOLF7L,B000F6RFX4,5.0,2014-04-30,3304,57,1086,5,1874
AOVD2T02C3X45,B000F6RFX4,5.0,2014-05-11,3315,58,1234,5,1885
AHJSFDSO04IET,B000F6RFX4,5.0,2014-04-28,3302,57,1154,5,1872
AXJ1CLF65RNNF,B000F6RFX4,5.0,2014-04-25,3299,57,1320,5,1869
A1NO1XWBONV7GP,B000F6RFX4,5.0,2014-04-24,3298,57,215,5,1868
A35X85OH0V85HD,B000F6RFX4,5.0,2014-04-28,3302,57,752,5,1872
A3MNHS1HHTAP7O,B000F6RFX4,5.0,2014-05-02,3306,57,925,5,1876
AYCC7GURIXGB8,B000F6RFX4,5.0,2014-05-20,3324,58,1329,5,1894
A37F0S72H94HU9,B000F6RFX4,5.0,2014-05-22,3326,58,760,5,1896
A38N8Z1U5GM91C,B000F6RFX4,5.0,2014-04-28,3302,57,771,5,1872
A1EJLQY0WCBLO3,B000F6RFX4,5.0,2014-04-26,3300,57,129,5,1870
A10YFB0VUK1JOP,B000F6RFX4,5.0,2014-05-14,3318,58,6,5,1888
A3PLEHMIWZET7V,B000F6RFX4,4.0,2014-04-23,3297,57,951,5,1867
ABU20ONMQ7HNS,B000F6RFX4,5.0,2014-04-30,3304,57,1093,5,1874
ARFRKID8WSIIL,B000F6RFX4,5.0,2014-04-22,3296,57,1262,5,1866
A2MTPVW8JI634V,B000F6RFX4,5.0,2014-05-03,3307,58,565,5,1877
A3DD9AR5KZEAHH,B000F6RFX4,5.0,2014-05-20,3324,58,817,5,1894
A2U8IUXU7DPJUS,B000F6RFX4,5.0,2014-06-13,3348,58,628,5,1918
A2KJWZ7I24GMQC,B000F6RFX4,5.0,2014-05-08,3312,58,540,5,1882
A3P49VUFZRBD24,B000F6RFX4,5.0,2014-05-07,3311,58,946,5,1881
A34JM8GCMVDE7U,B000F6RFX4,5.0,2014-05-13,3317,58,738,5,1887
A21ZE48YPVAE4A,B000F6RFX4,5.0,2014-05-22,3326,58,358,5,1896
A2NXUOGK3VRFUB,B000F6RFX4,5.0,2014-04-25,3299,57,572,5,1869
A30X9M0J5WOVAS,B000F6RFX4,5.0,2014-05-08,3312,58,700,5,1882
A1J7GMSVITTLFA,B000F6RFX4,4.0,2014-04-24,3298,57,175,5,1868
A2C5DG8IBPZLYF,B000F6RFX4,5.0,2014-04-29,3303,57,459,5,1873
A32GCOTGFJ9XC3,B000FBNV1Y,4.0,2008-12-13,1340,23,717,6,222
AHKPZ11JT110F,B000FBNV1Y,5.0,2009-01-08,1366,23,1155,6,246
A224KM22RQ5CD4,B000FBNV1Y,2.0,2011-07-20,2289,40,360,6,910
A1D6DFC3AGV3JZ,B000FBNV1Y,4.0,2009-01-25,1383,24,111,6,262
A32T2H8150OJLU,B000FBNV1Y,3.0,2008-12-17,1344,23,720,6,226
A2CZPM110DW516,B000FBNV1Y,4.0,2009-01-07,1365,23,467,6,245
A2AOW20EGSCAY2,B000FBNV1Y,5.0,2008-12-05,1332,23,444,6,214
A1S7YQQGJPPFLG,B000FBNV1Y,4.0,2009-01-15,1373,24,258,6,253
A18FUHNBP90IB4,B000FBNV1Y,4.0,2008-12-15,1342,23,70,6,224
AYGEP8I4BQ3CK,B000FBNV1Y,3.0,2008-12-12,1339,23,1330,6,221
A3DOPYDOS49I3T,B000FBNV1Y,4.0,2009-02-11,1400,24,819,6,276
AHFGCH8LANEZK,B000FBNV1Y,3.0,2008-12-18,1345,23,1153,6,227
A3U5CZ3PV82JXD,B000FBNV1Y,3.0,2008-12-04,1331,23,995,6,213
A1TR1R2QKWRSRA,B000FBNV1Y,4.0,2008-12-18,1345,23,265,6,227
A1I477ADGMLVJM,B000FBNV1Y,4.0,2008-12-23,1350,23,159,6,231
AY3D7DG5L5WCK,B000FBNV1Y,3.0,2008-12-12,1339,23,1325,6,221
A3VBXQKRM7A4JR,B000FBNV1Y,4.0,2008-11-29,1326,23,1004,6,208
